"id","vendor","category","subcategory","feature","officialUrl","sourceType","sourceKey","status","blocker"
"SAL-0043","salonist","Other Settings","Help Center","How can I delete a category in expenses?","https://help.salonist.io/en/articles/11790947-how-can-i-delete-a-category-in-expenses","help_article","https://help.salonist.io/en/articles/11790947-how-can-i-delete-a-category-in-expenses","Unmapped","AuraShine source and UAT evidence has not been reviewed for this atomic capability."
"SAL-0044","salonist","Other Settings","Help Center","How can I edit or delete expenses in Salonist?","https://help.salonist.io/en/articles/11791379-how-can-i-edit-or-delete-expenses-in-salonist","help_article","https://help.salonist.io/en/articles/11791379-how-can-i-edit-or-delete-expenses-in-salonist","Unmapped","AuraShine source and UAT evidence has not been reviewed for this atomic capability."
"SAL-0045","salonist","Booking Settings","Help Center","How can I hide services from appearing on the booking page?","https://help.salonist.io/en/articles/11798568-how-can-i-hide-services-from-appearing-on-the-booking-page","help_article","https://help.salonist.io/en/articles/11798568-how-can-i-hide-services-from-appearing-on-the-booking-page","Unmapped","AuraShine source and UAT evidence has not been reviewed for this atomic capability."
"SAL-0046","salonist","Market Place","Help Center","How can I hide client feedback from the marketplace?","https://help.salonist.io/en/articles/11798767-how-can-i-hide-client-feedback-from-the-marketplace","help_article","https://help.salonist.io/en/articles/11798767-how-can-i-hide-client-feedback-from-the-marketplace","Unmapped","AuraShine source and UAT evidence has not been reviewed for this atomic capability."
"SAL-0047","salonist","Other Settings","Help Center","How to create a Consent Form?","https://help.salonist.io/en/articles/11891636-how-to-create-a-consent-form","help_article","https://help.salonist.io/en/articles/11891636-how-to-create-a-consent-form","Unmapped","AuraShine source and UAT evidence has not been reviewed for this atomic capability."
"SAL-0048","salonist","Other Settings","Help Center","How can I reset my Salonist account password?","https://help.salonist.io/en/articles/11926755-how-can-i-reset-my-salonist-account-password","help_article","https://help.salonist.io/en/articles/11926755-how-can-i-reset-my-salonist-account-password","Unmapped","AuraShine source and UAT evidence has not been reviewed for this atomic capability."
"SAL-0049","salonist","Quick Sale","Help Center","How to generate an invoice in Salonist?","https://help.salonist.io/en/articles/12147906-how-to-generate-an-invoice-in-salonist","help_article","https://help.salonist.io/en/articles/12147906-how-to-generate-an-invoice-in-salonist","Unmapped","AuraShine source and UAT evidence has not been reviewed for this atomic capability."
"SAL-0050","salonist","Staff Management","Help Center","How to give roles to staff","https://help.salonist.io/en/articles/15679746-how-to-give-roles-to-staff","help_article","https://help.salonist.io/en/articles/15679746-how-to-give-roles-to-staff","Unmapped","AuraShine source and UAT evidence has not been reviewed for this atomic capability."
"SAL-0051","salonist","UPDATES","Help Center","How to Create Staff Roles with the New Role Management System","https://help.salonist.io/en/articles/15679768-how-to-create-staff-roles-with-the-new-role-management-system","help_article","https://help.salonist.io/en/articles/15679768-how-to-create-staff-roles-with-the-new-role-management-system","Unmapped","AuraShine source and UAT evidence has not been reviewed for this atomic capability."
"SAL-0052","salonist","Getting Started","Help Center","Manage / Change Business Logo on salonist","https://help.salonist.io/en/articles/9139931-manage-change-business-logo-on-salonist","help_article","https://help.salonist.io/en/articles/9139931-manage-change-business-logo-on-salonist","Unmapped","AuraShine source and UAT evidence has not been reviewed for this atomic capability."
"SAL-0053","salonist","Getting Started","Help Center","How can I add services in Salonist?","https://help.salonist.io/en/articles/9139940-how-can-i-add-services-in-salonist","help_article","https://help.salonist.io/en/articles/9139940-how-can-i-add-services-in-salonist","Unmapped","AuraShine source and UAT evidence has not been reviewed for this atomic capability."
"SAL-0054","salonist","Getting Started","Help Center","Manage/ Customize the own profile page on Salonist?","https://help.salonist.io/en/articles/9140131-manage-customize-the-own-profile-page-on-salonist","help_article","https://help.salonist.io/en/articles/9140131-manage-customize-the-own-profile-page-on-salonist","Unmapped","AuraShine source and UAT evidence has not been reviewed for this atomic capability."
"SAL-0055","salonist","Getting Started","Help Center","How are the services imported or exported?","https://help.salonist.io/en/articles/9140242-how-are-the-services-imported-or-exported","help_article","https://help.salonist.io/en/articles/9140242-how-are-the-services-imported-or-exported","Unmapped","AuraShine source and UAT evidence has not been reviewed for this atomic capability."
"SAL-0056","salonist","Getting Started","Help Center","How can I Add packages in Salonist?","https://help.salonist.io/en/articles/9140383-how-can-i-add-packages-in-salonist","help_article","https://help.salonist.io/en/articles/9140383-how-can-i-add-packages-in-salonist","Unmapped","AuraShine source and UAT evidence has not been reviewed for this atomic capability."
"SAL-0057","salonist","Getting Started","Help Center","How can I change the services' name and price?","https://help.salonist.io/en/articles/9140424-how-can-i-change-the-services-name-and-price","help_article","https://help.salonist.io/en/articles/9140424-how-can-i-change-the-services-name-and-price","Unmapped","AuraShine source and UAT evidence has not been reviewed for this atomic capability."
"SAL-0058","salonist","Getting Started","Help Center","How can I keep track of my expenses in Salonist ?","https://help.salonist.io/en/articles/9143993-how-can-i-keep-track-of-my-expenses-in-salonist","help_article","https://help.salonist.io/en/articles/9143993-how-can-i-keep-track-of-my-expenses-in-salonist","Unmapped","AuraShine source and UAT evidence has not been reviewed for this atomic capability."
"SAL-0059","salonist","Staff Management","Help Center","How a staff member be Added in Salonist?","https://help.salonist.io/en/articles/9144005-how-a-staff-member-be-added-in-salonist","help_article","https://help.salonist.io/en/articles/9144005-how-a-staff-member-be-added-in-salonist","Unmapped","AuraShine source and UAT evidence has not been reviewed for this atomic capability."
"SAL-0060","salonist","Staff Management","Help Center","How to add breaks for staff?","https://help.salonist.io/en/articles/9144089-how-to-add-breaks-for-staff","help_article","https://help.salonist.io/en/articles/9144089-how-to-add-breaks-for-staff","Unmapped","AuraShine source and UAT evidence has not been reviewed for this atomic capability."
"SAL-0061","salonist","Staff Management","Help Center","How can the staff attendance be added?","https://help.salonist.io/en/articles/9144110-how-can-the-staff-attendance-be-added","help_article","https://help.salonist.io/en/articles/9144110-how-can-the-staff-attendance-be-added","Unmapped","AuraShine source and UAT evidence has not been reviewed for this atomic capability."
"SAL-0062","salonist","Staff Management","Help Center","How can I get my deleted staff back?","https://help.salonist.io/en/articles/9144134-how-can-i-get-my-deleted-staff-back","help_article","https://help.salonist.io/en/articles/9144134-how-can-i-get-my-deleted-staff-back","Unmapped","AuraShine source and UAT evidence has not been reviewed for this atomic capability."
"SAL-0063","salonist","Staff Management","Help Center","How can we reset the staff password?","https://help.salonist.io/en/articles/9144210-how-can-we-reset-the-staff-password","help_article","https://help.salonist.io/en/articles/9144210-how-can-we-reset-the-staff-password","Unmapped","AuraShine source and UAT evidence has not been reviewed for this atomic capability."
"SAL-0064","salonist","Staff Management","Help Center","How can the staff details be edited?","https://help.salonist.io/en/articles/9144392-how-can-the-staff-details-be-edited","help_article","https://help.salonist.io/en/articles/9144392-how-can-the-staff-details-be-edited","Unmapped","AuraShine source and UAT evidence has not been reviewed for this atomic capability."
"SAL-0065","salonist","Staff Management","Help Center","How staff can mark the Attendance ?","https://help.salonist.io/en/articles/9144434-how-staff-can-mark-the-attendance","help_article","https://help.salonist.io/en/articles/9144434-how-staff-can-mark-the-attendance","Unmapped","AuraShine source and UAT evidence has not been reviewed for this atomic capability."
"SAL-0066","salonist","Staff Management","Help Center","How to delete the staff?","https://help.salonist.io/en/articles/9144460-how-to-delete-the-staff","help_article","https://help.salonist.io/en/articles/9144460-how-to-delete-the-staff","Unmapped","AuraShine source and UAT evidence has not been reviewed for this atomic capability."
"SAL-0067","salonist","Staff Management","Help Center","How to assign a commission Profile?","https://help.salonist.io/en/articles/9144625-how-to-assign-a-commission-profile","help_article","https://help.salonist.io/en/articles/9144625-how-to-assign-a-commission-profile","Unmapped","AuraShine source and UAT evidence has not been reviewed for this atomic capability."
"SAL-0068","salonist","Staff Management","Help Center","How can I allocate services to my staff based on their Capabilities?","https://help.salonist.io/en/articles/9144660-how-can-i-allocate-services-to-my-staff-based-on-their-capabilities","help_article","https://help.salonist.io/en/articles/9144660-how-can-i-allocate-services-to-my-staff-based-on-their-capabilities","Unmapped","AuraShine source and UAT evidence has not been reviewed for this atomic capability."
"SAL-0069","salonist","Staff Management","Help Center","How can the staff tips be added to the salonist?","https://help.salonist.io/en/articles/9144736-how-can-the-staff-tips-be-added-to-the-salonist","help_article","https://help.salonist.io/en/articles/9144736-how-can-the-staff-tips-be-added-to-the-salonist","Unmapped","AuraShine source and UAT evidence has not been reviewed for this atomic capability."
"SAL-0070","salonist","Client Management","Help Center","How can I add a client to the salonist ?","https://help.salonist.io/en/articles/9144781-how-can-i-add-a-client-to-the-salonist","help_article","https://help.salonist.io/en/articles/9144781-how-can-i-add-a-client-to-the-salonist","Unmapped","AuraShine source and UAT evidence has not been reviewed for this atomic capability."
"SAL-0071","salonist","Client Management","Help Center","How can I look up a client's outstanding payments?","https://help.salonist.io/en/articles/9144931-how-can-i-look-up-a-client-s-outstanding-payments","help_article","https://help.salonist.io/en/articles/9144931-how-can-i-look-up-a-client-s-outstanding-payments","Unmapped","AuraShine source and UAT evidence has not been reviewed for this atomic capability."
"SAL-0072","salonist","Client Management","Help Center","What is meant by the terms ""active & inactive period""?","https://help.salonist.io/en/articles/9144951-what-is-meant-by-the-terms-active-inactive-period","help_article","https://help.salonist.io/en/articles/9144951-what-is-meant-by-the-terms-active-inactive-period","Unmapped","AuraShine source and UAT evidence has not been reviewed for this atomic capability."
"SAL-0073","salonist","Client Management","Help Center","Can I add other fields, like the villa number and additional details for the customers?","https://help.salonist.io/en/articles/9144979-can-i-add-other-fields-like-the-villa-number-and-additional-details-for-the-customers","help_article","https://help.salonist.io/en/articles/9144979-can-i-add-other-fields-like-the-villa-number-and-additional-details-for-the-customers","Unmapped","AuraShine source and UAT evidence has not been reviewed for this atomic capability."
"SAL-0074","salonist","Client Management","Help Center","How can I add a Client group?","https://help.salonist.io/en/articles/9144999-how-can-i-add-a-client-group","help_article","https://help.salonist.io/en/articles/9144999-how-can-i-add-a-client-group","Unmapped","AuraShine source and UAT evidence has not been reviewed for this atomic capability."
"SAL-0075","salonist","Client Management","Help Center","How can I change or remove a client group?","https://help.salonist.io/en/articles/9147969-how-can-i-change-or-remove-a-client-group","help_article","https://help.salonist.io/en/articles/9147969-how-can-i-change-or-remove-a-client-group","Unmapped","AuraShine source and UAT evidence has not been reviewed for this atomic capability."
"SAL-0076","salonist","Client Management","Help Center","How to add client notes?","https://help.salonist.io/en/articles/9147992-how-to-add-client-notes","help_article","https://help.salonist.io/en/articles/9147992-how-to-add-client-notes","Unmapped","AuraShine source and UAT evidence has not been reviewed for this atomic capability."
"SAL-0077","salonist","Client Management","Help Center","How can I look up a client's history?","https://help.salonist.io/en/articles/9148003-how-can-i-look-up-a-client-s-history","help_article","https://help.salonist.io/en/articles/9148003-how-can-i-look-up-a-client-s-history","Unmapped","AuraShine source and UAT evidence has not been reviewed for this atomic capability."
"SAL-0078","salonist","Client Management","Help Center","How can the client be deleted?","https://help.salonist.io/en/articles/9148052-how-can-the-client-be-deleted","help_article","https://help.salonist.io/en/articles/9148052-how-can-the-client-be-deleted","Unmapped","AuraShine source and UAT evidence has not been reviewed for this atomic capability."
"SAL-0079","salonist","Client Management","Help Center","""How can we Import or Export the clients?""","https://help.salonist.io/en/articles/9148078-how-can-we-import-or-export-the-clients","help_article","https://help.salonist.io/en/articles/9148078-how-can-we-import-or-export-the-clients","Unmapped","AuraShine source and UAT evidence has not been reviewed for this atomic capability."
"SAL-0080","salonist","Appointment Management","Help Center","How do I book a room appointment?","https://help.salonist.io/en/articles/9148105-how-do-i-book-a-room-appointment","help_article","https://help.salonist.io/en/articles/9148105-how-do-i-book-a-room-appointment","Unmapped","AuraShine source and UAT evidence has not been reviewed for this atomic capability."
"SAL-0081","salonist","Appointment Management","Help Center","How can an appointment be manually booked?","https://help.salonist.io/en/articles/9148147-how-can-an-appointment-be-manually-booked","help_article","https://help.salonist.io/en/articles/9148147-how-can-an-appointment-be-manually-booked","Unmapped","AuraShine source and UAT evidence has not been reviewed for this atomic capability."
"SAL-0082","salonist","Appointment Management","Help Center","How do I generate an invoice once an appointment is completed?","https://help.salonist.io/en/articles/9148382-how-do-i-generate-an-invoice-once-an-appointment-is-completed","help_article","https://help.salonist.io/en/articles/9148382-how-do-i-generate-an-invoice-once-an-appointment-is-completed","Unmapped","AuraShine source and UAT evidence has not been reviewed for this atomic capability."
"SAL-0083","salonist","Appointment Management","Help Center","How do I enable the room feature?","https://help.salonist.io/en/articles/9148438-how-do-i-enable-the-room-feature","help_article","https://help.salonist.io/en/articles/9148438-how-do-i-enable-the-room-feature","Unmapped","AuraShine source and UAT evidence has not been reviewed for this atomic capability."
"SAL-0084","salonist","Appointment Management","Help Center","How can I delete an appointment?","https://help.salonist.io/en/articles/9148547-how-can-i-delete-an-appointment","help_article","https://help.salonist.io/en/articles/9148547-how-can-i-delete-an-appointment","Unmapped","AuraShine source and UAT evidence has not been reviewed for this atomic capability."
"SAL-0085","salonist","Appointment Management","Help Center","How to add advance payment while appointment booking?","https://help.salonist.io/en/articles/9148587-how-to-add-advance-payment-while-appointment-booking","help_article","https://help.salonist.io/en/articles/9148587-how-to-add-advance-payment-while-appointment-booking","Unmapped","AuraShine source and UAT evidence has not been reviewed for this atomic capability."
"SAL-0086","salonist","Appointment Management","Help Center","Can we add blocked time for staff calendar ?","https://help.salonist.io/en/articles/9148659-can-we-add-blocked-time-for-staff-calendar","help_article","https://help.salonist.io/en/articles/9148659-can-we-add-blocked-time-for-staff-calendar","Unmapped","AuraShine source and UAT evidence has not been reviewed for this atomic capability."
"SAL-0087","salonist","Inventory Management","Help Center","Can we delete multiple products?","https://help.salonist.io/en/articles/9148806-can-we-delete-multiple-products","help_article","https://help.salonist.io/en/articles/9148806-can-we-delete-multiple-products","Unmapped","AuraShine source and UAT evidence has not been reviewed for this atomic capability."
"SAL-0088","salonist","Inventory Management","Help Center","How to add products in Salonist?","https://help.salonist.io/en/articles/9148860-how-to-add-products-in-salonist","help_article","https://help.salonist.io/en/articles/9148860-how-to-add-products-in-salonist","Unmapped","AuraShine source and UAT evidence has not been reviewed for this atomic capability."
"SAL-0089","salonist","Inventory Management","Help Center","How to add product brand in salonist?","https://help.salonist.io/en/articles/9148954-how-to-add-product-brand-in-salonist","help_article","https://help.salonist.io/en/articles/9148954-how-to-add-product-brand-in-salonist","Unmapped","AuraShine source and UAT evidence has not been reviewed for this atomic capability."
"SAL-0090","salonist","Inventory Management","Help Center","How to add product type in salonist?","https://help.salonist.io/en/articles/9148975-how-to-add-product-type-in-salonist","help_article","https://help.salonist.io/en/articles/9148975-how-to-add-product-type-in-salonist","Unmapped","AuraShine source and UAT evidence has not been reviewed for this atomic capability."
